0 10.00000
1 9.04837
2 8.18731
3 7.40818
4 6.70320
5 6.06531
6 5.48812
7 4.96585
8 4.49329
9 4.06570
10 3.67879
11 3.32871
12 3.01194
13 2.72532
14 2.46597
15 2.23130
16 2.01897
17 1.82684
18 1.65299
19 1.49569
20 1.35335
21 1.22456
22 1.10803
23 1.00259
24 0.90718
25 0.82085
26 0.74274
27 0.67206
28 0.60810
29 0.55023
30 0.49787
31 0.45049
32 0.40762
33 0.36883
34 0.33373
35 0.30197
36 0.27324
37 0.24724
38 0.22371
39 0.20242
40 0.18316
41 0.16573
42 0.14996
43 0.13569
44 0.12277
45 0.11109
46 0.10052
47 0.09095
48 0.08230
49 0.07447
50 0.06738
51 0.06097
52 0.05517
53 0.04992
54 0.04517
55 0.04087
56 0.03698
57 0.03346
58 0.03028
59 0.02739
60 0.02479
61 0.02243
62 0.02029
63 0.01836
64 0.01662
65 0.01503
66 0.01360
67 0.01231
68 0.01114
69 0.01008
70 0.00912
71 0.00825
72 0.00747
73 0.00676
74 0.00611
75 0.00553
76 0.00500
77 0.00453
78 0.00410
79 0.00371
80 0.00335
81 0.00304
82 0.00275
83 0.00249
84 0.00225
85 0.00203
86 0.00184
87 0.00167
88 0.00151
89 0.00136
90 0.00123
91 0.00112
92 0.00101
93 0.00091
94 0.00083
95 0.00075
96 0.00068
97 0.00061
98 0.00055
99 0.00050
