0 0.00000 1.00000 2.00000 0.29000
1 0.00628 0.99998 -0.49372 0.76000
2 0.01257 0.99992 -0.78743 0.04000
3 0.01885 0.99982 3.81885 0.43000
4 0.02513 0.99968 2.12513 0.63000
5 0.03141 0.99951 1.83141 0.13000
6 0.03769 0.99929 0.38770 0.38000
7 0.04397 0.99903 -2.70602 0.06000
8 0.05024 0.99874 2.85026 0.40000
9 0.05652 0.99840 4.00654 0.04000
10 0.06279 0.99803 -4.03718 0.18000
11 0.06906 0.99761 -0.58090 0.28000
12 0.07533 0.99716 -4.32462 0.88000
13 0.08159 0.99667 2.48166 0.69000
14 0.08785 0.99613 3.68794 0.17000
15 0.09411 0.99556 -1.95579 0.17000
16 0.10036 0.99495 -4.44951 0.96000
17 0.10661 0.99430 1.90676 0.24000
18 0.11286 0.99361 -4.38696 0.43000
19 0.11910 0.99288 2.21931 0.70000
20 0.12533 0.99211 4.47558 0.83000
21 0.13156 0.99131 -4.56815 0.90000
22 0.13779 0.99046 0.18812 0.99000
23 0.14401 0.98958 0.79439 0.72000
24 0.15023 0.98865 3.75065 0.25000
25 0.15643 0.98769 1.20692 0.44000
26 0.16264 0.98669 -2.08682 0.90000
27 0.16883 0.98564 -3.88056 0.05000
28 0.17502 0.98456 5.12570 0.39000
29 0.18121 0.98345 1.23196 0.54000
30 0.18738 0.98229 0.38822 0.86000
31 0.19355 0.98109 2.14447 0.69000
32 0.19971 0.97986 -4.24928 0.82000
33 0.20586 0.97858 2.20697 0.42000
34 0.21201 0.97727 -1.43678 0.64000
35 0.21814 0.97592 0.46947 0.97000
36 0.22427 0.97453 -3.37429 0.07000
37 0.23039 0.97310 1.58195 0.55000
38 0.23650 0.97163 2.73819 0.04000
39 0.24260 0.97013 4.44443 0.48000
40 0.24869 0.96858 -1.84933 0.11000
41 0.25477 0.96700 1.25690 0.22000
42 0.26084 0.96538 -3.53687 0.28000
43 0.26690 0.96372 -3.63064 0.99000
44 0.27295 0.96203 -1.27442 0.43000
45 0.27899 0.96029 5.08180 0.46000
46 0.28502 0.95852 -0.66198 0.68000
47 0.29104 0.95671 -3.20576 0.40000
48 0.29704 0.95486 -0.49955 0.22000
49 0.30304 0.95298 -0.09334 0.11000
50 0.30902 0.95106 3.91287 0.10000
51 0.31499 0.94910 -1.08093 0.05000
52 0.32094 0.94710 -2.17473 0.01000
53 0.32689 0.94506 -3.41853 0.61000
54 0.33282 0.94299 4.58767 0.30000
55 0.33874 0.94088 -3.55614 0.78000
56 0.34464 0.93873 0.30005 0.05000
57 0.35053 0.93655 -2.64377 0.20000
58 0.35641 0.93433 -2.53759 0.36000
59 0.36228 0.93207 0.26859 0.44000
60 0.36812 0.92978 1.02476 0.26000
61 0.37396 0.92745 0.28093 0.22000
62 0.37978 0.92508 4.88710 0.65000
63 0.38558 0.92267 1.59326 0.08000
64 0.39137 0.92023 4.89942 0.16000
65 0.39715 0.91775 -4.14443 0.82000
66 0.40291 0.91524 4.46173 0.58000
67 0.40865 0.91269 -3.63213 0.24000
68 0.41438 0.91011 2.22401 0.37000
69 0.42009 0.90748 2.03015 0.62000
70 0.42578 0.90483 3.18629 0.24000
71 0.43146 0.90213 5.14242 0.00000
72 0.43712 0.89941 -4.35146 0.36000
73 0.44276 0.89664 4.40466 0.52000
74 0.44838 0.89384 3.91078 0.99000
75 0.45399 0.89101 -0.88311 0.79000
76 0.45958 0.88814 4.27300 0.50000
77 0.46515 0.88523 -2.02090 0.68000
78 0.47070 0.88229 -1.76480 0.71000
79 0.47624 0.87932 -1.50871 0.73000
80 0.48175 0.87631 2.59738 0.31000
81 0.48725 0.87326 4.45346 0.81000
82 0.49273 0.87018 -0.29046 0.30000
83 0.49819 0.86707 5.16562 0.33000
84 0.50362 0.86392 -4.22832 0.94000
85 0.50904 0.86074 -3.42225 0.60000
86 0.51444 0.85753 3.88380 0.63000
87 0.51982 0.85428 0.73986 0.99000
88 0.52517 0.85099 -3.80410 0.81000
89 0.53051 0.84768 3.60195 0.99000
90 0.53583 0.84433 3.25798 0.96000
91 0.54112 0.84094 1.86401 0.59000
92 0.54639 0.83753 -1.47996 0.73000
93 0.55165 0.83408 2.77606 0.13000
94 0.55688 0.83060 -4.31793 0.68000
95 0.56208 0.82708 -4.31192 0.90000
96 0.56727 0.82353 0.89408 0.95000
97 0.57243 0.81995 4.80008 0.26000
98 0.57757 0.81634 -3.34393 0.66000
99 0.58269 0.81269 -2.28794 0.84000
